instance,observation_time,collection_time,cpu_usage,memory_usage,network_usage,wattage,num_processes,wattage_kepler,wattage_kepler_new,wattage_scaph,wattage_auxilary,temperture
sm-gpu,2026-02-03 20:45:34,2026-02-03 20:45:37,3.737200000000126,0.3675863972425356,1.8832488411066688,0,52,32.963399999961254,33.9404186,34.174568,3.886225359042588,50
sm-gpu,2026-02-03 20:45:49,2026-02-03 20:45:51,4.426000000000364,0.38094118400614374,1.897193416329165,0,55,40.310200000181794,33.26198379999996,33.169767,8.471798684766833,51
sm-gpu,2026-02-03 20:46:04,2026-02-03 20:46:07,4.326200000000065,0.41557711844901946,1.5685101395025014,0,55,29.778599999845028,33.83909320000002,33.571768,8.875846773518969,51
sm-gpu,2026-02-03 20:46:19,2026-02-03 20:46:20,4.26100000000007,0.4239798474476024,1.4530338371499996,0,56,39.08710000030696,32.91729329999998,32.871723,9.718282650504474,51
sm-gpu,2026-02-03 20:46:32,2026-02-03 20:46:34,3.958199999999788,0.46053793787527797,1.5133832053338356,0,56,29.718099999800323,33.27485999999999,33.243409,9.33709121809726,51
sm-gpu,2026-02-03 20:46:46,2026-02-03 20:46:48,3.8720000000001074,0.4753671653432934,1.499843144559998,0,56,40.373299999907616,33.43307940000004,33.505985,10.375665280578918,51
sm-gpu,2026-02-03 20:47:00,2026-02-03 20:47:02,3.937000000000093,0.49054778590447123,1.5333820797981108,0,57,30.89890000000596,33.634555100000036,33.563901,6.650144115759529,51
sm-gpu,2026-02-03 20:47:14,2026-02-03 20:47:16,4.089600000000023,0.5062494404067024,1.546018475771667,0,57,41.42470000013709,34.45072999999993,34.517672,8.365281623933878,51
sm-gpu,2026-02-03 20:47:29,2026-02-03 20:47:30,4.247200000000008,0.5218179508222806,1.4101043908173354,0,57,32.22690000012517,35.71630329999998,35.759531,14.347160337967509,51
sm-gpu,2026-02-03 20:47:41,2026-02-03 20:47:43,4.331999999999793,0.5281510330270085,1.485738752946667,0,57,31.411799999698996,33.73425850000003,33.729485,10.14841792322246,51
sm-gpu,2026-02-03 20:47:55,2026-02-03 20:47:57,4.009799999999927,0.5258134114055143,1.5066044619816659,0,57,26.92580000013113,31.217925999999988,31.091246,5.642456168366159,51
sm-gpu,2026-02-03 20:48:08,2026-02-03 20:48:09,4.034199999999879,0.5278107555955367,1.8970172449440006,0,57,31.922599999979138,36.82049879999995,36.73306,14.938586495577473,51
sm-gpu,2026-02-03 20:48:20,2026-02-03 20:48:21,4.064400000000112,0.5237595134924828,2.2737171007733337,0,57,44.14820000007749,36.83673640000006,36.92136,13.40103959878429,51
sm-gpu,2026-02-03 20:48:32,2026-02-03 20:48:35,4.383199999999938,0.5260106280356984,2.9276246599999984,0,58,32.81710000000894,36.778858200000016,36.841297,15.747361017796182,51
sm-gpu,2026-02-03 20:48:48,2026-02-03 20:48:51,4.9443999999999075,0.5253309063393532,3.2329206463999984,0,58,45.121899999678135,37.62312299999994,37.571865,13.932105127263826,51
sm-gpu,2026-02-03 20:49:02,2026-02-03 20:49:03,4.914999999999936,0.5200222939124824,3.2798006868766687,0,58,32.44110000021756,34.74732110000004,34.720848,11.813756826385267,51
sm-gpu,2026-02-03 20:49:15,2026-02-03 20:49:16,4.730000000000015,0.5214711503059773,3.328791128174998,0,58,40.020500000193714,33.686066199999914,33.598752,11.470808927091305,51
sm-gpu,2026-02-03 20:49:28,2026-02-03 20:49:29,4.452000000000101,0.5124205021897448,3.3552081676486636,0,58,30.972300000116228,35.85710560000007,35.848655,11.458847650964882,51
sm-gpu,2026-02-03 20:49:42,2026-02-03 20:49:43,4.532199999999936,0.5076336755859793,3.435325574448332,0,58,33.27060000002384,39.14093699999994,39.273296,16.810612433928114,51
sm-gpu,2026-02-03 20:49:56,2026-02-03 20:49:57,4.829999999999923,0.5214079718924542,3.27908396,0,58,33.094099999964236,39.077645200000006,38.973187,17.874499227912157,51
sm-gpu,2026-02-03 20:50:09,2026-02-03 20:50:11,4.822800000000123,0.525834301533884,2.9539396200000025,0,59,29.458599999919535,32.20343560000001,32.169717,7.120483904225094,51
sm-gpu,2026-02-03 20:50:22,2026-02-03 20:50:23,4.409400000000016,0.5297025518023364,2.148950155983334,0,59,39.45709999985993,32.43726139999999,32.374415,6.543590645278744,51
sm-gpu,2026-02-03 20:50:34,2026-02-03 20:50:34,3.939600000000061,0.5314270034496755,2.2168426542283335,0,59,28.689600000157952,32.82624730000007,33.052709,9.252416172804494,51
sm-gpu,2026-02-03 20:50:46,2026-02-03 20:50:47,3.6295999999999773,0.5192522244430515,2.3739890947725004,0,59,41.53619999997318,33.72439130000002,33.752792,10.95795748702458,51
sm-gpu,2026-02-03 20:51:00,2026-02-03 20:51:02,3.688199999999782,0.5095223626588874,2.6875190242793314,0,59,31.27690000012517,35.41858310000007,35.476429,11.151356106476701,52
sm-gpu,2026-02-03 20:51:15,2026-02-03 20:51:17,4.098200000000129,0.5175007456841055,3.4092475132853313,0,59,42.4875,35.18929039999985,35.191411,13.097443753210076,52
sm-gpu,2026-02-03 20:51:29,2026-02-03 20:51:30,4.268999999999991,0.5166943420225294,3.368117899999998,0,59,31.428199999779462,33.552175699999864,33.62536,10.403394820687925,52
sm-gpu,2026-02-03 20:51:42,2026-02-03 20:51:42,4.297200000000039,0.5025327654957505,3.3888229800000027,0,59,31.02820000015199,35.906547599999975,35.821206,12.145854263297352,52
sm-gpu,2026-02-03 20:51:54,2026-02-03 20:51:54,4.528400000000201,0.5032027736888265,3.4026181000000006,0,59,43.871900000050665,36.44463630000009,36.494983,14.043857375718305,52
sm-gpu,2026-02-03 20:52:06,2026-02-03 20:52:08,4.621799999999704,0.5020350398983162,3.380469660000001,0,59,32.69129999987781,37.38565209999997,37.428538,16.355724360115133,52
