instance,observation_time,collection_time,cpu_usage,memory_usage,network_usage,wattage,num_processes,wattage_kepler,wattage_kepler_new,wattage_scaph,wattage_auxilary,temperture
130.149.158.131:9100,2026-01-25 07:29:16,2026-01-25 07:29:18,0.16700000000052198,0.13082760518009506,2.04539416,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-25 07:29:16,2026-01-25 07:29:18,0.41239999999987753,0.43600996982482665,3.9473951599999992,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-25 07:29:16,2026-01-25 07:29:18,0.1336000000000021,0.02151942650282279,0.02118064,0,0,0,,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-25 07:29:16,2026-01-25 07:29:18,0.5753999999993722,0,0.008929280000000001,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-25 07:29:16,2026-01-25 07:29:18,0.8254000000004043,0.15259817727557878,5.704836800000001,0,0,0,0,0,0,0
130.149.158.150:9100,2026-01-25 07:29:16,2026-01-25 07:29:18,0.5732000000000326,0.1478292575839396,0.5908942903200002,0,0,0,0,0,0,48
130.149.158.32:9100,2026-01-25 07:29:16,2026-01-25 07:29:18,3.2575999999999006,0.20188852117550515,2.332938691891666,0,0,0,0,0,0,29.8
130.149.158.131:9100,2026-01-25 07:29:30,2026-01-25 07:29:32,0.16060000000002278,0.13085716304374773,2.0353952200000003,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-25 07:29:30,2026-01-25 07:29:32,0.35559999999978825,0.4349905822069432,4.00575932,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-25 07:29:30,2026-01-25 07:29:32,0.1359999999999911,0.021621197845876128,0.02237469222333334,0,0,0,,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-25 07:29:30,2026-01-25 07:29:32,0.5698000000021419,0,0.0090112,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-25 07:29:30,2026-01-25 07:29:32,0.822000000000803,0.1523661289861401,5.58864336,0,0,0,0,0,0,0
130.149.158.150:9100,2026-01-25 07:29:30,2026-01-25 07:29:32,0.598400000000115,0.15277381684957936,0.6114802007033333,0,0,0,0,0,0,48
130.149.158.32:9100,2026-01-25 07:29:30,2026-01-25 07:29:32,3.90759999999998,0.2109496958503585,2.2084447669175,0,0,0,0,0,0,29.8
130.149.158.131:9100,2026-01-25 07:29:44,2026-01-25 07:29:46,0.16119999999948983,0.13083987481896486,2.0287960000000003,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-25 07:29:44,2026-01-25 07:29:46,0.347199999999948,0.43527680686150627,3.9912446000000004,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-25 07:29:44,2026-01-25 07:29:46,0.1292000000000019,0.02180100732779411,0.01774353852333333,0,0,0,,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-25 07:29:44,2026-01-25 07:29:46,0.561399999999894,0,0.009113600000000001,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-25 07:29:44,2026-01-25 07:29:46,0.8958000000000492,0.15314786366109723,6.22632936,0,0,0,0,0,0,0
130.149.158.150:9100,2026-01-25 07:29:44,2026-01-25 07:29:46,0.6080000000000296,0.15772012373296185,0.6053284217711115,0,0,0,0,0,0,48
130.149.158.32:9100,2026-01-25 07:29:44,2026-01-25 07:29:46,3.829199999999914,0.23205713334849476,2.422610685858333,0,0,0,0,0,0,29.8
130.149.158.131:9100,2026-01-25 07:29:59,2026-01-25 07:30:01,0.14359999999951922,0.1307370027376118,1.9831021400000004,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-25 07:29:59,2026-01-25 07:30:01,0.344399999999778,0.4361340727190427,3.938335140000001,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-25 07:29:59,2026-01-25 07:30:01,0.12980000000000338,0.021894584451758292,0.062180881712500004,0,0,0,,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-25 07:29:59,2026-01-25 07:30:01,0.5510000000014043,0,0.00907264,0,0,0,,0,0,0
130.149.158.130:9100,2026-01-25 07:29:59,2026-01-25 07:30:01,0.8587999999992788,0.15373507850976165,6.061316860000001,0,0,0,0,0,0,0
130.149.158.150:9100,2026-01-25 07:29:59,2026-01-25 07:30:01,1.2787999999999724,0.1798542307976334,0.6400225158333336,0,0,0,0,0,0,48
130.149.158.32:9100,2026-01-25 07:29:59,2026-01-25 07:30:01,3.391199999999841,0.2355862758867635,2.4748689788219984,0,0,0,0,0,0,29.8
