instance,observation_time,collection_time,cpu_usage,memory_usage,network_usage,wattage,num_processes,wattage_kepler,wattage_kepler_new,wattage_scaph,wattage_auxilary,temperture
10.133.7.103:9100,2026-01-21 06:48:29,2026-01-21 06:48:31,0.11418181818181829,0.015389206787408294,0.05436792198030304,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-21 06:48:29,2026-01-21 06:48:31,1.2523636363637214,0.2507667624368144,2.174555018181818,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-21 06:48:29,2026-01-21 06:48:31,0.8563999999999986,0.26985892213521656,0.39709630909090926,0,0,0,0,0,0,49
130.149.158.131:9100,2026-01-21 06:48:29,2026-01-21 06:48:31,0.18363636363656138,0.13025102145190093,3.7783973818181806,0,0,0,0,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-21 06:48:29,2026-01-21 06:48:31,0.5214545454535379,0,0.009234618181818182,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-21 06:48:29,2026-01-21 06:48:31,0.4569090909094298,0.4406135562603668,7.191425072727272,0,0,0,0,0,0,0
130.149.158.130:9100,2026-01-21 06:48:29,2026-01-21 06:48:31,0.876000000000762,0.15429091133188466,6.529481818181817,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-21 06:48:42,2026-01-21 06:48:44,0.11545454545454756,0.01548014974879608,0.1704559861559596,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-21 06:48:42,2026-01-21 06:48:44,1.2621818181817714,0.25072521288281135,2.1924270181818186,0,0,0,0,0,0,40
130.149.158.150:9100,2026-01-21 06:48:42,2026-01-21 06:48:44,1.101818181818183,0.2707139441159805,0.5645606727272731,0,0,0,0,0,0,49
130.149.158.131:9100,2026-01-21 06:48:42,2026-01-21 06:48:44,0.1865454545455703,0.13027991850530873,3.7822405272727275,0,0,0,0,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-21 06:48:42,2026-01-21 06:48:44,0.5172727272750515,0,0.009290472727272727,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-21 06:48:42,2026-01-21 06:48:44,0.4640000000000522,0.440282136814085,7.1909228545454535,0,0,0,0,0,0,0
130.149.158.130:9100,2026-01-21 06:48:42,2026-01-21 06:48:44,0.7741818181797624,0.1546912014003694,5.4720585272727265,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-21 06:48:56,2026-01-21 06:48:58,0.12363636363636263,0.01559484736520833,0.4095672860126262,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-21 06:48:56,2026-01-21 06:48:58,1.275090909090936,0.25075947019047506,2.210449909090909,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-21 06:48:56,2026-01-21 06:48:58,1.2732727272727156,0.2714890837089796,0.8628629999999996,0,0,0,0,0,0,49
130.149.158.131:9100,2026-01-21 06:48:56,2026-01-21 06:48:58,0.17618181818227027,0.13032605913415862,3.7759158545454548,0,0,0,0,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-21 06:48:56,2026-01-21 06:48:58,0.4963636363632386,0,0.009197381818181817,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-21 06:48:56,2026-01-21 06:48:58,0.45254545454553896,0.4399861908112733,7.1970726545454555,0,0,0,0,0,0,0
130.149.158.130:9100,2026-01-21 06:48:56,2026-01-21 06:48:58,0.89709090909197,0.15496953750203624,6.870438272727273,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-21 06:49:11,2026-01-21 06:49:13,0.12454545454545499,0.01577446378960834,0.5998509729866667,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-21 06:49:11,2026-01-21 06:49:13,1.2961818181818014,0.2509920806611009,2.2281513636363632,0,0,0,0,0,0,29.8
130.149.158.150:9100,2026-01-21 06:49:11,2026-01-21 06:49:13,1.281636363636341,0.2718768109942875,1.116621963636363,0,0,0,0,0,0,49
130.149.158.131:9100,2026-01-21 06:49:11,2026-01-21 06:49:13,0.18818181818206503,0.13034007902719014,3.7831101636363633,0,0,0,0,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-21 06:49:11,2026-01-21 06:49:13,0.4979999999992204,0,0.009309090909090907,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-21 06:49:11,2026-01-21 06:49:13,0.4556363636362274,0.4396846800812607,7.202936345454547,0,0,0,0,0,0,0
130.149.158.130:9100,2026-01-21 06:49:11,2026-01-21 06:49:13,0.9849090909093239,0.15507907674998522,7.684921727272727,0,0,0,0,0,0,0
10.133.7.103:9100,2026-01-21 06:49:24,2026-01-21 06:49:25,0.10981818181818387,0.015922560356601667,0.612819947739394,0,0,0,0,0,0,0
130.149.158.32:9100,2026-01-21 06:49:24,2026-01-21 06:49:25,1.3089090909090415,0.2510646984345354,2.220667327272727,0,0,0,0,0,0,37
130.149.158.150:9100,2026-01-21 06:49:24,2026-01-21 06:49:25,1.1814545454545422,0.2721355295442298,1.1758536363636363,0,0,0,0,0,0,49
130.149.158.131:9100,2026-01-21 06:49:24,2026-01-21 06:49:25,0.18763636363601982,0.13034824985656857,3.7687630545454542,0,0,0,0,0,0,0
elise.ise.tu-berlin.de:9100,2026-01-21 06:49:24,2026-01-21 06:49:25,0.49090909090919516,0,0.009253236363636362,0,0,0,0,0,0,0
130.149.158.132:9100,2026-01-21 06:49:24,2026-01-21 06:49:25,0.4614545454544326,0.4394020975474203,7.2886964363636375,0,0,0,0,0,0,0
130.149.158.130:9100,2026-01-21 06:49:24,2026-01-21 06:49:25,0.9147272727301042,0.15514115034433051,6.943404963636362,0,0,0,0,0,0,0
