Method,Name,Error,Occurrences
GET,/tools.descartes.teastore.webui/,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/'),31
GET,/tools.descartes.teastore.webui/category,RemoteDisconnected('Remote end closed connection without response'),25
GET,/tools.descartes.teastore.webui/,RemoteDisconnected('Remote end closed connection without response'),32
GET,/tools.descartes.teastore.webui/category?page=1&category=5,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=1&category=5'),1
POST,/tools.descartes.teastore.webui/loginAction,RemoteDisconnected('Remote end closed connection without response'),31
GET,/tools.descartes.teastore.webui/category?page=4&category=5,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=4&category=5'),2
GET,/tools.descartes.teastore.webui/,"ConnectionRefusedError(111, 'Connection refused')",2
GET,/tools.descartes.teastore.webui/category?page=5&category=4,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=5&category=4'),1
GET,/tools.descartes.teastore.webui/category?page=5&category=5,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=5&category=5'),1
GET,/tools.descartes.teastore.webui/category?page=3&category=3,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=3&category=3'),1
GET,/tools.descartes.teastore.webui/category?page=1&category=4,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=1&category=4'),1
