Method,Name,Error,Occurrences
GET,/tools.descartes.teastore.webui/category?page=1&category=2,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=1&category=2'),2
POST,/tools.descartes.teastore.webui/loginAction?username=64&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=64&password=password'),1
GET,/tools.descartes.teastore.webui/,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/'),10
POST,/tools.descartes.teastore.webui/loginAction?username=52&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=52&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=10&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=10&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?username=84&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=84&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=5&category=6,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=5&category=6'),1
GET,/tools.descartes.teastore.webui/category?page=2&category=6,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=2&category=6'),2
GET,/tools.descartes.teastore.webui/category?page=1&category=3,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=1&category=3'),1
POST,/tools.descartes.teastore.webui/loginAction?username=77&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=77&password=password'),1
POST,/tools.descartes.teastore.webui/cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm'),5
GET,/tools.descartes.teastore.webui/category?page=2&category=2,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=2&category=2'),3
POST,/tools.descartes.teastore.webui/loginAction?username=88&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=88&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=3&category=4,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=3&category=4'),1
GET,/tools.descartes.teastore.webui/category?page=3&category=2,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=3&category=2'),1
POST,/tools.descartes.teastore.webui/loginAction?username=13&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=13&password=password'),1
POST,/tools.descartes.teastore.webui/loginAction?logout=,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?logout='),10
GET,/tools.descartes.teastore.webui/profile,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/profile'),10
GET,/tools.descartes.teastore.webui/category?page=4&category=5,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=4&category=5'),1
GET,/tools.descartes.teastore.webui/category?page=1&category=6,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=1&category=6'),2
POST,/tools.descartes.teastore.webui/loginAction?username=79&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=79&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=5&category=3,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=5&category=3'),1
GET,/tools.descartes.teastore.webui/category?page=4&category=3,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=4&category=3'),1
GET,/tools.descartes.teastore.webui/category?page=5&category=4,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=5&category=4'),1
GET,/tools.descartes.teastore.webui/category?page=3&category=6,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=3&category=6'),3
POST,/tools.descartes.teastore.webui/loginAction?username=65&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=65&password=password'),1
GET,/tools.descartes.teastore.webui/login,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/login'),10
POST,/tools.descartes.teastore.webui/loginAction?username=18&password=password,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/loginAction?username=18&password=password'),1
GET,/tools.descartes.teastore.webui/category?page=4&category=6,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=4&category=6'),3
GET,/tools.descartes.teastore.webui/category?page=1&category=4,HTTPError('500 Server Error:  for url: /tools.descartes.teastore.webui/category?page=1&category=4'),1
