Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/tools.descartes.teastore.webui/,10,10,570.0,1822.305216093082,148.9403480081819,5275.9172529913485,6712.0,0.9537706490648324,0.9537706490648324,1300,2300,3300,4300,5300,5300,5300,5300,5300,5300,5300
POST,/tools.descartes.teastore.webui/cartAction?firstname=User&lastname=User&adress1=Road&adress2=City&cardtype=volvo&cardnumber=314159265359&expirydate=12%2F2050&confirm=Confirm,5,5,400.0,356.9210709887557,202.13655597763136,498.53838596027344,6712.0,0.4768853245324162,0.4768853245324162,400,400,400,500,500,500,500,500,500,500,500
GET,/tools.descartes.teastore.webui/category?page=1&category=2,2,2,180.0,384.87663949490525,179.35806600144133,590.3952129883692,6036.0,0.1907541298129665,0.1907541298129665,590,590,590,590,590,590,590,590,590,590,590
GET,/tools.descartes.teastore.webui/category?page=1&category=3,1,1,405.7766170008108,405.7766170008108,405.7766170008108,405.7766170008108,6036.0,0.09537706490648325,0.09537706490648325,410,410,410,410,410,410,410,410,410,410,410
GET,/tools.descartes.teastore.webui/category?page=1&category=4,1,1,296.48047499358654,296.48047499358654,296.48047499358654,296.48047499358654,6036.0,0.09537706490648325,0.09537706490648325,300,300,300,300,300,300,300,300,300,300,300
GET,/tools.descartes.teastore.webui/category?page=1&category=6,2,2,121.00206804461777,217.05299502355047,121.00206804461777,313.10392200248316,6036.0,0.1907541298129665,0.1907541298129665,310,310,310,310,310,310,310,310,310,310,310
GET,/tools.descartes.teastore.webui/category?page=2&category=2,3,3,400.0,364.8064646598262,294.2243110155687,404.7249400173314,6036.0,0.28613119471944976,0.28613119471944976,400,400,400,400,400,400,400,400,400,400,400
GET,/tools.descartes.teastore.webui/category?page=2&category=6,2,2,400.0,496.7860555043444,399.1885370342061,594.3835739744827,6036.0,0.1907541298129665,0.1907541298129665,590,590,590,590,590,590,590,590,590,590,590
GET,/tools.descartes.teastore.webui/category?page=3&category=2,1,1,489.3000600277446,489.3000600277446,489.3000600277446,489.3000600277446,6036.0,0.09537706490648325,0.09537706490648325,490,490,490,490,490,490,490,490,490,490,490
GET,/tools.descartes.teastore.webui/category?page=3&category=4,1,1,306.3262540381402,306.3262540381402,306.3262540381402,306.3262540381402,6036.0,0.09537706490648325,0.09537706490648325,310,310,310,310,310,310,310,310,310,310,310
GET,/tools.descartes.teastore.webui/category?page=3&category=6,3,3,190.0,205.83648166696852,115.13220699271187,308.278493990656,6036.0,0.28613119471944976,0.28613119471944976,190,190,310,310,310,310,310,310,310,310,310
GET,/tools.descartes.teastore.webui/category?page=4&category=3,1,1,591.9671879964881,591.9671879964881,591.9671879964881,591.9671879964881,6036.0,0.09537706490648325,0.09537706490648325,590,590,590,590,590,590,590,590,590,590,590
GET,/tools.descartes.teastore.webui/category?page=4&category=5,1,1,109.28981297183782,109.28981297183782,109.28981297183782,109.28981297183782,6036.0,0.09537706490648325,0.09537706490648325,110,110,110,110,110,110,110,110,110,110,110
GET,/tools.descartes.teastore.webui/category?page=4&category=6,3,3,310.0,271.31268234613043,106.69677302939817,401.63740201387554,6036.0,0.28613119471944976,0.28613119471944976,310,310,400,400,400,400,400,400,400,400,400
GET,/tools.descartes.teastore.webui/category?page=5&category=3,1,1,297.1236199955456,297.1236199955456,297.1236199955456,297.1236199955456,6036.0,0.09537706490648325,0.09537706490648325,300,300,300,300,300,300,300,300,300,300,300
GET,/tools.descartes.teastore.webui/category?page=5&category=4,1,1,302.7827499900013,302.7827499900013,302.7827499900013,302.7827499900013,6036.0,0.09537706490648325,0.09537706490648325,300,300,300,300,300,300,300,300,300,300,300
GET,/tools.descartes.teastore.webui/category?page=5&category=6,1,1,297.3212139913812,297.3212139913812,297.3212139913812,297.3212139913812,6036.0,0.09537706490648325,0.09537706490648325,300,300,300,300,300,300,300,300,300,300,300
GET,/tools.descartes.teastore.webui/login,10,10,810.0,751.0292992985342,304.54586999258026,999.849156010896,6712.0,0.9537706490648324,0.9537706490648324,890,910,990,1000,1000,1000,1000,1000,1000,1000,1000
POST,/tools.descartes.teastore.webui/loginAction?logout=,10,10,190.0,199.036245100433,99.0567629924044,398.2753269956447,6743.0,0.9537706490648324,0.9537706490648324,200,200,290,300,400,400,400,400,400,400,400
POST,/tools.descartes.teastore.webui/loginAction?username=10&password=password,1,1,200.91523602604866,200.91523602604866,200.91523602604866,200.91523602604866,6739.0,0.09537706490648325,0.09537706490648325,200,200,200,200,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/loginAction?username=13&password=password,1,1,289.71536504104733,289.71536504104733,289.71536504104733,289.71536504104733,6739.0,0.09537706490648325,0.09537706490648325,290,290,290,290,290,290,290,290,290,290,290
POST,/tools.descartes.teastore.webui/loginAction?username=18&password=password,1,1,182.32830800116062,182.32830800116062,182.32830800116062,182.32830800116062,6739.0,0.09537706490648325,0.09537706490648325,180,180,180,180,180,180,180,180,180,180,180
POST,/tools.descartes.teastore.webui/loginAction?username=52&password=password,1,1,194.3033590214327,194.3033590214327,194.3033590214327,194.3033590214327,6739.0,0.09537706490648325,0.09537706490648325,190,190,190,190,190,190,190,190,190,190,190
POST,/tools.descartes.teastore.webui/loginAction?username=64&password=password,1,1,298.95071598002687,298.95071598002687,298.95071598002687,298.95071598002687,6739.0,0.09537706490648325,0.09537706490648325,300,300,300,300,300,300,300,300,300,300,300
POST,/tools.descartes.teastore.webui/loginAction?username=65&password=password,1,1,97.63833798933774,97.63833798933774,97.63833798933774,97.63833798933774,6739.0,0.09537706490648325,0.09537706490648325,98,98,98,98,98,98,98,98,98,98,98
POST,/tools.descartes.teastore.webui/loginAction?username=77&password=password,1,1,195.1961069717072,195.1961069717072,195.1961069717072,195.1961069717072,6739.0,0.09537706490648325,0.09537706490648325,200,200,200,200,200,200,200,200,200,200,200
POST,/tools.descartes.teastore.webui/loginAction?username=79&password=password,1,1,115.96121097682044,115.96121097682044,115.96121097682044,115.96121097682044,6739.0,0.09537706490648325,0.09537706490648325,120,120,120,120,120,120,120,120,120,120,120
POST,/tools.descartes.teastore.webui/loginAction?username=84&password=password,1,1,212.36255101393908,212.36255101393908,212.36255101393908,212.36255101393908,6739.0,0.09537706490648325,0.09537706490648325,210,210,210,210,210,210,210,210,210,210,210
POST,/tools.descartes.teastore.webui/loginAction?username=88&password=password,1,1,208.34527700208127,208.34527700208127,208.34527700208127,208.34527700208127,6739.0,0.09537706490648325,0.09537706490648325,210,210,210,210,210,210,210,210,210,210,210
GET,/tools.descartes.teastore.webui/profile,10,10,110.0,157.32877471018583,94.03871098766103,291.6580280289054,6724.0,0.9537706490648324,0.9537706490648324,180,190,190,200,290,290,290,290,290,290,290
,Aggregated,79,79,300.0,517.6833345830335,94.03871098766103,5275.9172529913485,6515.493670886076,7.534788127612177,7.534788127612177,300,400,460,570,990,2300,4300,5300,5300,5300,5300
